SG_UF,CO_MACRORREGIONAL,NO_MACRORREGIONAL,CO_CIR,NO_CIR_PADRAO,CO_MUNICIPIO_IBGE,NO_MUNICIPIO,POP2021,,obs
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.010,10ª REGIAO,251720,VIEIROPOLIS,5.395,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.006,6ª REGIAO,250550,VISTA SERRANA,3.850,,
PB,2.502,MACRORREGIAO II - CAMPINA GRANDE,25.005,5ª REGIAO,251740,ZABELE,2.269,,
PE,2.607,METROPOLITANA,26.010,RECIFE,260005,ABREU E LIMA,100.698,,
PE,2.606,SERTAO,26.001,AFOGADOS DA INGAZEIRA,260010,AFOGADOS DA INGAZEIRA,37.546,,
PE,2.605,VALE DO S.FRANCISCO E ARARIPE,26.009,PETROLINA,260020,AFRANIO,19.981,,
PE,2.608,AGRESTE,26.003,CARUARU,260030,AGRESTINA,25.240,,
PE,2.607,METROPOLITANA,26.008,PALMARES,260040,AGUA PRETA,37.386,,
PE,2.608,AGRESTE,26.004,GARANHUNS,260050,AGUAS BELAS,43.923,,
PE,2.608,AGRESTE,26.003,CARUARU,260060,ALAGOINHA,14.798,,
PE,2.607,METROPOLITANA,26.005,GOIANA,260070,ALIANCA,38.408,,
PE,2.608,AGRESTE,26.003,CARUARU,260080,ALTINHO,22.996,,
PE,2.607,METROPOLITANA,26.008,PALMARES,260090,AMARAJI,22.910,,
PE,2.608,AGRESTE,26.004,GARANHUNS,260100,ANGELIM,11.301,,
PE,2.607,METROPOLITANA,26.010,RECIFE,260105,ARACOIABA,20.936,,
PE,2.605,VALE DO S.FRANCISCO E ARARIPE,26.007,OURICURI,260110,ARARIPINA,85.301,,
PE,2.606,SERTAO,26.002,ARCOVERDE,260120,ARCOVERDE,75.295,,
PE,2.608,AGRESTE,26.003,CARUARU,260130,BARRA DE GUABIRABA,14.632,,
PE,2.607,METROPOLITANA,26.008,PALMARES,260140,BARREIROS,42.866,,
PE,2.607,METROPOLITANA,26.008,PALMARES,260150,BELEM DE MARIA,12.169,,
PE,2.605,VALE DO S.FRANCISCO E ARARIPE,26.011,SALGUEIRO,260160,BELEM DE SAO FRANCISCO,20.730,,
PE,2.608,AGRESTE,26.003,CARUARU,260170,BELO JARDIM,76.930,,
PE,2.606,SERTAO,26.012,SERRA TALHADA,260180,BETANIA,12.811,,
PE,2.608,AGRESTE,26.003,CARUARU,260190,BEZERROS,60.960,,
PE,2.605,VALE DO S.FRANCISCO E ARARIPE,26.007,OURICURI,260200,BODOCO,38.605,,
PE,2.608,AGRESTE,26.004,GARANHUNS,260210,BOM CONSELHO,48.975,,
PE,2.607,METROPOLITANA,26.006,LIMOEIRO,260220,BOM JARDIM,40.038,,
PE,2.608,AGRESTE,26.003,CARUARU,260230,BONITO,38.101,,
PE,2.608,AGRESTE,26.004,GARANHUNS,260240,BREJAO,8.981,,
PE,2.606,SERTAO,26.001,AFOGADOS DA INGAZEIRA,260250,BREJINHO,7.489,,
PE,2.608,AGRESTE,26.003,CARUARU,260260,BREJO DA MADRE DE DEUS,51.696,,
PE,2.607,METROPOLITANA,26.006,LIMOEIRO,260270,BUENOS AIRES,13.224,,
PE,2.606,SERTAO,26.002,ARCOVERDE,260280,BUIQUE,59.448,,
PE,2.607,METROPOLITANA,26.010,RECIFE,260290,CABO DE SANTO AGOSTINHO,210.796,,
PE,2.605,VALE DO S.FRANCISCO E ARARIPE,26.009,PETROLINA,260300,CABROBO,34.778,,
PE,2.608,AGRESTE,26.003,CARUARU,260310,CACHOEIRINHA,20.618,,
PE,2.608,AGRESTE,26.004,GARANHUNS,260320,CAETES,29.065,,
PE,2.608,AGRESTE,26.004,GARANHUNS,260330,CALCADO,10.983,,
PE,2.606,SERTAO,26.012,SERRA TALHADA,260340,CALUMBI,5.744,,
